"capability_id","workspace","route","surface_type","purpose","risk","states","backend_authority","permission_authority","status","evidence"
"CAP-B01-001","Accueil / Produits & services","/angelcare-marketplace/admin","SOURCE_REVIEWED","SOURCE_REVIEWED_STATIC","CONTEXTUAL","SOURCE_REVIEWED_STATIC; RUNTIME_PENDING","POST /api/angelcare-marketplace/catalog/:itemId/transition|POST /api/angelcare-marketplace/catalog|POST /api/angelcare-marketplace/quote-baskets/:basketId/items|POST /api/angelcare-marketplace/quote-baskets","SOURCE_REVIEWED_STATIC","IMPLEMENTED","OperatorExcellenceCockpit; approved interaction requirement and actual source authority reconciled."
"CAP-B01-002","Accueil / Produits & services","/angelcare-marketplace/admin/catalog/items","SOURCE_REVIEWED","SOURCE_REVIEWED_STATIC","CONTEXTUAL","SOURCE_REVIEWED_STATIC; RUNTIME_PENDING","READ_ONLY_CONTEXTUAL_AUTHORITY","SOURCE_REVIEWED_STATIC","IMPLEMENTED","ProductMasterRegistry; approved interaction requirement and actual source authority reconciled."
"CAP-B01-003","Accueil / Produits & services","/angelcare-marketplace/admin/catalog/items/new","SOURCE_REVIEWED","SOURCE_REVIEWED_STATIC","CONTEXTUAL","SOURCE_REVIEWED_STATIC; RUNTIME_PENDING","READ_ONLY_CONTEXTUAL_AUTHORITY","SOURCE_REVIEWED_STATIC","IMPLEMENTED","ProductMasterRegistry + CreateOfferDrawer; approved interaction requirement and actual source authority reconciled."
"CAP-B01-004","Accueil / Produits & services","/angelcare-marketplace/admin/catalog/items/[itemId]/overview","SOURCE_REVIEWED","SOURCE_REVIEWED_STATIC","CONTEXTUAL","SOURCE_REVIEWED_STATIC; RUNTIME_PENDING","READ_ONLY_CONTEXTUAL_AUTHORITY","SOURCE_REVIEWED_STATIC","IMPLEMENTED","ProductStudio; approved interaction requirement and actual source authority reconciled."
"CAP-B01-005","Accueil / Produits & services","/angelcare-marketplace/admin/catalog/items/[itemId]/content","SOURCE_REVIEWED","SOURCE_REVIEWED_STATIC","CONTEXTUAL","SOURCE_REVIEWED_STATIC; RUNTIME_PENDING","READ_ONLY_CONTEXTUAL_AUTHORITY","SOURCE_REVIEWED_STATIC","IMPLEMENTED","ProductStudio; approved interaction requirement and actual source authority reconciled."
"CAP-B01-006","Accueil / Produits & services","/angelcare-marketplace/admin/catalog/items/[itemId]/commercial","SOURCE_REVIEWED","SOURCE_REVIEWED_STATIC","CONTEXTUAL","SOURCE_REVIEWED_STATIC; RUNTIME_PENDING","READ_ONLY_CONTEXTUAL_AUTHORITY","SOURCE_REVIEWED_STATIC","IMPLEMENTED","ProductStudio; approved interaction requirement and actual source authority reconciled."
"CAP-B01-007","Accueil / Produits & services","/angelcare-marketplace/admin/catalog/items/[itemId]/availability","SOURCE_REVIEWED","SOURCE_REVIEWED_STATIC","CONTEXTUAL","SOURCE_REVIEWED_STATIC; RUNTIME_PENDING","READ_ONLY_CONTEXTUAL_AUTHORITY","SOURCE_REVIEWED_STATIC","IMPLEMENTED","ProductStudio; approved interaction requirement and actual source authority reconciled."
"CAP-B01-008","Accueil / Produits & services","/angelcare-marketplace/admin/catalog/items/[itemId]/fulfillment","SOURCE_REVIEWED","SOURCE_REVIEWED_STATIC","CONTEXTUAL","SOURCE_REVIEWED_STATIC; RUNTIME_PENDING","READ_ONLY_CONTEXTUAL_AUTHORITY","SOURCE_REVIEWED_STATIC","IMPLEMENTED","ProductStudio; approved interaction requirement and actual source authority reconciled."
"CAP-B01-009","Accueil / Produits & services","/angelcare-marketplace/admin/catalog/items/[itemId]/trust","SOURCE_REVIEWED","SOURCE_REVIEWED_STATIC","HIGH_GOVERNED","SOURCE_REVIEWED_STATIC; RUNTIME_PENDING","READ_ONLY_CONTEXTUAL_AUTHORITY","SOURCE_REVIEWED_STATIC","IMPLEMENTED","ProductStudio; approved interaction requirement and actual source authority reconciled."
"CAP-B01-010","Accueil / Produits & services","/angelcare-marketplace/admin/catalog/items/[itemId]/preview","SOURCE_REVIEWED","SOURCE_REVIEWED_STATIC","HIGH_GOVERNED","SOURCE_REVIEWED_STATIC; RUNTIME_PENDING","READ_ONLY_CONTEXTUAL_AUTHORITY","SOURCE_REVIEWED_STATIC","IMPLEMENTED","ProductStudio; approved interaction requirement and actual source authority reconciled."
"CAP-B02-001","Catégories & collections","/angelcare-marketplace/admin/catalog/categories","create workspace and contextual category navigation","search, hierarchy browse, drag reorder, status/template/product facts, create, open 360, export, publication history","CONTEXTUAL","loading at server boundary; populated; search-empty; no-data; mutation pending/success/error; read-only permission state","POST /api/angelcare-marketplace/admin/catalog/categories/reorder|POST /api/angelcare-marketplace/admin/catalog/categories|POST /api/angelcare-marketplace/admin/category-native/imports/:jobId/:action|POST /api/angelcare-marketplace/admin/category-native/imports|POST /api/angelcare-marketplace/admin/category-native/schemas/:schemaKey/:action|PATCH /api/angelcare-marketplace/admin/category-native/schemas/:schemaKey/fields/:fieldId|POST /api/angelcare-marketplace/admin/category-native/schemas/:schemaKey/fields/reorder|POST /api/angelcare-marketplace/admin/category-native/schemas/:schemaKey/fields|PATCH /api/angelcare-marketplace/admin/category-native/schemas/:schemaKey|POST /api/angelcare-marketplace/admin/category-native/schemas|POST /api/angelcare-marketplace/admin/homepage/collections|POST /api/angelcare-marketplace/admin/merchandising/collections|POST /api/angelcare-marketplace/conversion/category-native/session/:sessionKey/commit|PATCH /api/angelcare-marketplace/conversion/category-native/session/:sessionKey/configuration|POST /api/angelcare-marketplace/conversion/category-native/session/:sessionKey/revalidate|POST /api/angelcare-marketplace/conversion/category-native/session","marketplace.catalog.view; marketplace.categories.manage; marketplace.commerce.export; marketplace.publication.manage","IMPLEMENTED","CategoryStudio; approved interaction requirement and actual source authority reconciled."
"CAP-B02-002","Catégories & collections","/angelcare-marketplace/admin/catalog/categories/[categoryId]","governed publication decision modal plus contextual right rail","identity, slug/key, hierarchy, locale, presentation, status, preview, publish, unpublish and downstream storefront navigation","CONTEXTUAL","loading at server boundary; populated; validation; unsaved native form; mutation pending/success/error; disabled-with-reason; lifecycle status","READ_ONLY_CONTEXTUAL_AUTHORITY","marketplace.catalog.view; marketplace.categories.manage","IMPLEMENTED","CategoryStudio; approved interaction requirement and actual source authority reconciled."
"CAP-B02-003","Catégories & collections","/angelcare-marketplace/admin/catalog/categories/[categoryId]/storefront","selected-object inspector and embedded public preview","hero copy, eyebrow, tone, accent, CTA, media, experience configuration, storefront sections, save and public preview","CONTEXTUAL","server-loaded; populated; validation; dirty form; save pending/success/error; permission-disabled; preview unavailable handled by browser frame","READ_ONLY_CONTEXTUAL_AUTHORITY","marketplace.catalog.view; marketplace.categories.manage","IMPLEMENTED","CategoryStudio / CategoryExperienceEditor; approved interaction requirement and actual source authority reconciled."
"CAP-B02-004","Catégories & collections","/angelcare-marketplace/admin/catalog/categories/[categoryId]/seo","contextual SEO preview and readiness inspector","filter configuration, discoverability metadata, title/description/canonical/social fields, validation, save and preview","CONTEXTUAL","server-loaded; populated; validation; unsaved; save pending/success/error; permission-disabled; missing metadata warnings","READ_ONLY_CONTEXTUAL_AUTHORITY","marketplace.catalog.view; marketplace.categories.manage","IMPLEMENTED","CategoryStudio / CategoryDiscoveryEditor; approved interaction requirement and actual source authority reconciled."
"CAP-B02-005","Catégories & collections","/angelcare-marketplace/admin/catalog/categories/[categoryId]/products","catalogue picker, composition inspector and embedded public preview","search, select, assign, remove, drag reorder, persist order, warnings, open product and public storefront preview","CONTEXTUAL","server-loaded; populated; filtered empty; no assignment; mutation pending/success/error; reorder rollback; permission-disabled","READ_ONLY_CONTEXTUAL_AUTHORITY","marketplace.catalog.view; marketplace.categories.manage","IMPLEMENTED","CategoryStudio / CategoryProductComposer; approved interaction requirement and actual source authority reconciled."
"CAP-B02-006","Catégories & collections","/angelcare-marketplace/admin/merchandising/collections","governed publish/unpublish modal and product assignment inspector","create, edit, schedule, audience, layout, cover media, assign, remove, reorder, duplicate, publish, unpublish and history","CONTEXTUAL","server-loaded; populated; empty; search-empty; save/assign/action pending/success/error; permission-disabled; draft/scheduled/active/paused/archived","READ_ONLY_CONTEXTUAL_AUTHORITY","marketplace.merchandising.view; marketplace.homepage.manage is the actual mutation guard; marketplace.publication.manage for history","IMPLEMENTED","CollectionStudio; approved interaction requirement and actual source authority reconciled."
"CAP-B02-007","Catégories & collections","/angelcare-marketplace/admin/category-native/schemas","field inspector plus governed activate/pause decision modal","browse schemas/versions, inspect field semantics, constraints and public mapping, download template, open archetype, activate and pause","CONTEXTUAL","loading; empty schemas; empty fields; search-empty; mutation pending/success/error; permission-disabled; draft/active/paused lifecycle","READ_ONLY_CONTEXTUAL_AUTHORITY","marketplace.experience_schema.view; marketplace.experience_schema.manage","IMPLEMENTED","SchemaArchitectureStudio; approved interaction requirement and actual source authority reconciled."
"CAP-B02-008","Catégories & collections","/angelcare-marketplace/admin/category-native/archetypes/[schemaKey]","persistent schema/field inspector and created-object result panel","select schema, apply defaults, create schema-native product, preserve configuration, report errors and open resulting Product 360","CONTEXTUAL","loading; schema missing; search-empty; validation; unsaved/beforeunload; create pending/success/error; permission-disabled","READ_ONLY_CONTEXTUAL_AUTHORITY","marketplace.experience_schema.view; marketplace.catalog.manage is the actual product-create guard","IMPLEMENTED","ArchetypeStudio; approved interaction requirement and actual source authority reconciled."
"CAP-B02-009","Catégories & collections","/angelcare-marketplace/admin/category-native/template-factory","template contract inspector","select schema/version, filter fields, inspect required/types/examples/public mapping and download the real generated CSV template","CONTEXTUAL","loading; no schema; filtered empty; selection fallback; generated-link state; read-only permission boundary","READ_ONLY_CONTEXTUAL_AUTHORITY","marketplace.category_native_import.view","IMPLEMENTED","CsvTemplateFactory; approved interaction requirement and actual source authority reconciled."
"CAP-B02-010","Catégories & collections","/angelcare-marketplace/admin/category-native/imports","governed execute and rollback modals plus row evidence inspector","template, schema selection, CSV upload, dry-run, valid/error/warning counts, row evidence, execute, history and rollback where repository permits","CONTEXTUAL","loading; no schema; no file; validating; dry-run success/error; partial rows; execute pending/success/error; rollback pending/success/error; permission-disabled","READ_ONLY_CONTEXTUAL_AUTHORITY","marketplace.category_native_import.view; marketplace.category_native_import.manage","IMPLEMENTED","CsvImportStudio; approved interaction requirement and actual source authority reconciled."
"CAP-B03-001","Clients","/angelcare-marketplace/admin/customers","large Customer 360 inspector","real customer/family/order/payment/case aggregation; search; structured filters; pagination; quick segments; Customer 360 inspector; create/support/health continuity","CONTEXTUAL","server loading; populated; filtered empty; no-data; pagination; risk; permission-disabled; dossier load error","POST /api/angelcare-marketplace/admin/family-requests/:requestId/qualify","marketplace.admin.access plus action-specific permissions passed into dossier","IMPLEMENTED","CustomerRegistryWorkspace; approved interaction requirement and actual source authority reconciled."
"CAP-B03-002","Clients","/angelcare-marketplace/admin/customers/new","qualification inspector and created-object result panel","identity, contact, account kind, locale, territory and premium creation through real Auth plus customer/family transaction; validation; unsaved protection; open created 360","CONTEXTUAL","server territory loading; validation; unsaved; permission-disabled; create pending/success/error; credential result","READ_ONLY_CONTEXTUAL_AUTHORITY","marketplace.admin.access","IMPLEMENTED","CustomerCreateWorkspace; approved interaction requirement and actual source authority reconciled."
"CAP-B03-003","Clients","/angelcare-marketplace/admin/customers/[customerId]","governed archive/restore modal; nested order/payment dossiers; fullscreen inspector","identity; lifecycle; addresses/family facts; commercial intelligence; create order/booking; export; archive/restore; cross-object navigation","CONTEXTUAL","loading; not-found; error; populated; empty related lists; lifecycle; permission-disabled; mutation success/failure","READ_ONLY_CONTEXTUAL_AUTHORITY","marketplace.admin.access; operations.missions.create/manage; backoffice.objects.export-equivalent admin guard","IMPLEMENTED","CustomerCommandPage / CustomerMegaDossierOverlay; approved interaction requirement and actual source authority reconciled."
"CAP-B03-004","Clients","/angelcare-marketplace/admin/customers/[customerId]/commercial","governed opportunity/quote decision modals and nested object dossiers","orders; bookings; subscriptions; opportunities; quotes; inquiries; open nested dossiers; opportunity transition; quote lifecycle and approval","CONTEXTUAL","loading; populated; per-family empty; mutation pending/success/error; permission-disabled; lifecycle states","READ_ONLY_CONTEXTUAL_AUTHORITY","marketplace.crm.opportunities.transition; marketplace.crm.quotes.manage; marketplace.crm.quotes.approve; marketplace.admin.access","IMPLEMENTED","CustomerCommandPage / CustomerMegaDossierOverlay Portefeuille; approved interaction requirement and actual source authority reconciled."
"CAP-B03-005","Clients","/angelcare-marketplace/admin/customers/[customerId]/payments","governed Wallet exception modal; nested Payment 360 drawer","payment lineage; refunds; invoices; Wallet ledger; account statement and dossier PDFs; governed Credit adjustment; Finance drilldown","HIGH_GOVERNED","loading; no wallet; empty related lists; permission-disabled; pending/success/error; payment and invoice statuses","READ_ONLY_CONTEXTUAL_AUTHORITY","marketplace.finance.view/manage; marketplace.finance.exceptions.approve; marketplace.admin.access for document export","IMPLEMENTED","CustomerCommandPage / CustomerMegaDossierOverlay Finance; approved interaction requirement and actual source authority reconciled."
"CAP-B03-006","Clients","/angelcare-marketplace/admin/customers/[customerId]/family","expandable member inspectors and contextual family governance panel","family identity/status/onboarding/consent; guardians; children; addresses; service instructions; linked requests/support facts; export","CONTEXTUAL","loading; no family; empty guardians/children/addresses; validation; permission-disabled; save pending/success/error; lifecycle states","READ_ONLY_CONTEXTUAL_AUTHORITY","marketplace.family.admin.manage; marketplace.admin.access for addresses/export","IMPLEMENTED","CustomerCommandPage / CustomerInlineOperations Family; approved interaction requirement and actual source authority reconciled."
"CAP-B03-007","Clients","/angelcare-marketplace/admin/customers/segments","governed segment archive modal and result inspector","AND/OR rules; preview; persistent memberships; save; recalculate; duplicate; CSV export; governed archive; create targeted promotion draft","CONTEXTUAL","loading; saved/catalog unavailable; no saved segments; no preview; truncated result; permission-disabled; pending/success/error","READ_ONLY_CONTEXTUAL_AUTHORITY","marketplace.admin.access; marketplace.merchandising.manage","IMPLEMENTED","SegmentIntelligenceWorkspace / SegmentBuilder; approved interaction requirement and actual source authority reconciled."
"CAP-B03-008","Clients","/angelcare-marketplace/admin/customers/support","large case drawer and governed lifecycle decision modal","search; priority/status queues; customer continuity; lifecycle decisions; full evidence/assignment/recovery dossier link","CONTEXTUAL","server data; populated; filtered empty; no cases; permission-read-only; pending/success/error; blocked/recovery/approval states","READ_ONLY_CONTEXTUAL_AUTHORITY","workspace guard with marketplace.operating_kernel.manage fallback","IMPLEMENTED","CustomerCasesWorkspace / CustomerCaseDrawer; approved interaction requirement and actual source authority reconciled."
